                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90192,                0.70016,                 1.1457,                0.89617,                0.78459,                0.88712,                 0.5766,                 1.3575,                 0.7881,                 1.6322,             0.00040936,             0.00040936,             0.00040936
                      2,                0.98373,                0.77088,                 1.2033,                0.74838,                0.77648,                0.83054,                0.48932,                 1.4858,                0.92827,                 1.7891,             0.00082398,             0.00082398,             0.00082398
                      3,                 1.0749,                0.85502,                 1.2803,                0.76062,                0.60353,                0.69903,                0.40387,                 1.6614,                 1.2134,                 1.8954,              0.0012365,              0.0012365,              0.0012365
                      4,                 1.1445,                0.91834,                 1.3085,                0.66632,                0.71223,                0.77442,                0.44117,                 1.5235,                 1.1053,                 1.7398,              0.0012407,              0.0012407,              0.0012407
                      5,                 1.1909,                0.93536,                  1.324,                0.69171,                0.54843,                0.64722,                0.31531,                 1.7887,                 1.3801,                  1.999,              0.0012376,              0.0012376,              0.0012376
                      6,                 1.2715,                 1.0585,                 1.4123,                0.75349,                0.58092,                0.69084,                0.37985,                 1.6825,                 1.2708,                 1.9167,              0.0012345,              0.0012345,              0.0012345
                      7,                 1.2591,                 1.0225,                 1.3724,                0.69741,                 0.6406,                0.69735,                0.37639,                 1.6531,                 1.2937,                 1.9419,              0.0012314,              0.0012314,              0.0012314
                      8,                 1.2341,                 1.0431,                 1.3724,                0.71155,                0.64911,                0.68338,                0.35114,                 1.7095,                 1.3618,                 1.9677,              0.0012283,              0.0012283,              0.0012283
                      9,                 1.3101,                 1.1001,                 1.4245,                0.72855,                0.59364,                0.67086,                0.32734,                 1.8627,                 1.4042,                 2.0945,              0.0012252,              0.0012252,              0.0012252
                     10,                 1.2483,                 1.0821,                 1.3861,                0.76912,                 0.6281,                0.79494,                0.44798,                 1.7437,                 1.1819,                 1.9611,              0.0012222,              0.0012222,              0.0012222
                     11,                 1.2098,                0.96446,                 1.3532,                0.72323,                0.70882,                0.78175,                0.42947,                 1.5868,                 1.1739,                 1.8097,              0.0012191,              0.0012191,              0.0012191
                     12,                  1.207,                0.94953,                 1.3488,                0.74569,                0.59407,                0.70043,                0.38648,                 1.6536,                 1.2417,                 1.9172,               0.001216,               0.001216,               0.001216
                     13,                 1.2124,                0.98962,                 1.3647,                0.73895,                0.70852,                0.77043,                0.43769,                 1.6882,                 1.1423,                 1.8999,              0.0012129,              0.0012129,              0.0012129
                     14,                 1.2562,                 1.0268,                 1.3803,                0.69038,                0.63805,                 0.6943,                0.38056,                  1.747,                 1.2723,                  1.952,              0.0012098,              0.0012098,              0.0012098
                     15,                  1.278,                 1.0734,                 1.4023,                 0.7407,                0.64511,                0.75191,                0.40904,                 1.7081,                 1.2136,                 1.9417,              0.0012067,              0.0012067,              0.0012067
                     16,                 1.2405,                 1.0098,                  1.387,                0.74439,                0.73647,                0.81321,                0.49315,                 1.4974,                 1.1048,                 1.7324,              0.0012036,              0.0012036,              0.0012036
                     17,                 1.2637,                 1.0245,                 1.3938,                0.69327,                0.55789,                0.65395,                0.32871,                 1.8713,                 1.3963,                 2.0998,              0.0012005,              0.0012005,              0.0012005
                     18,                 1.2303,                 1.0073,                 1.3692,                 0.7642,                0.68382,                 0.7775,                 0.4284,                 1.6302,                 1.0836,                 1.8484,              0.0011974,              0.0011974,              0.0011974
                     19,                 1.1637,                 0.9225,                 1.3216,                0.74838,                0.71084,                0.78757,                0.45116,                 1.5741,                 1.0426,                 1.7977,              0.0011943,              0.0011943,              0.0011943
